Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Kayong Utara,9.04,9.13,8.84
Kubu Raya,4.12,4.23,4.08
Kota Pontianak,4.46,4.45,4.2
Kota Singkawang,4.67,4.7,4.53
KALIMANTAN TENGAH,5.28,5.11,5.17
Kotawaringin Barat,3.93,4.18,4.11
Kotawaringin Timur,5.95,5.69,5.66
Kapuas,5.52,5.21,5.25
Barito Selatan,4.88,4.72,4.83
Barito Utara,5.8,5.35,5.67
Sukamara,3.72,3.96,4.14
Lamandau,3.34,3.12,3.25
Seruyan,7.43,7.12,7.08
Katingan,5.5,4.99,5.26
Pulang Pisau,4.7,4.58,4.56
Gunung Mas,5.64,5.47,5.68
Barito Timur,6.59,6.63,6.66
Murung Raya,6.4,6.44,6.58
Kota Palangka Raya,3.61,3.44,3.52
KALIMANTAN SELATAN,4.49,4.29,4.11
Tanah Laut,3.86,3.73,3.74
Kota Baru,4.3,4.32,4.45
Banjar,2.79,2.44,2.36
Barito Kuala,4.75,4.6,4.36
Tapin,3.6,3.19,3.33
Hulu Sungai Selatan,4.54,4.01,3.38
Hulu Sungai Tengah,5.92,5.84,5.81
Hulu Sungai Utara,6.49,6.25,5.75
Tabalong,5.87,5.77,5.64
Tanah Bumbu,4.26,4.12,3.41
Balangan,5.83,5.22,4.87
Kota Banjarmasin,4.74,4.63,4.58
Kota Banjar Baru,4.17,3.92,3.79
KALIMANTAN TIMUR,6.31,6.11,5.78
Paser,9.43,9.11,8.63
Kutai Barat,10.2,9.72,9.56
Kutai Kartanegara,7.96,7.61,7.28
Kutai Timur,9.28,9.06,8.81
Berau,5.65,5.54,5.08
Penajam Paser Utara,7.25,6.97,6.69
Mahakam Hulu,11.55,11.38,10.75
Kota Balikpapan,2.45,2.31,2.23
Kota Samarinda,4.85,4.81,4.3
Kota Bontang,4.54,4.11,3.74
KALIMANTAN UTARA,6.77,6.45,6.32
Malinau,6.64,6.54,6.94
Bulungan,9.32,8.99,8.76
Tana Tidung,4.45,4.62,4.47
Nunukan,6.13,5.53,5.73
Kota Tarakan,6.3,6.1,5.56
SULAWESI UTARA,7.28,7.38,7.25
Bolaang Mongondow,7.04,7.37,7.74
Minahasa,7.05,6.87,6.53
Kepulauan Sangihe,10.5,11.01,10.84
Kepulauan Talaud,8.25,8.46,8.17
Minahasa Selatan,9,8.89,8.97
Minahasa Utara,6.6,6.65,6.95
Bolaang Mongondow Utara,7.31,7.9,7.88
Siau Tagulandang Biaro,8.2,8.76,8.32
Minahasa Tenggara,11.78,11.84,11.72
Bolaang Mongondow Selatan,11.92,12.04,11.33
Bolaang Mongondow Timur,5.85,5.8,5.87
Kota Manado,5.85,5.79,5.43
Kota Bitung,6.2,6.56,6.27
Kota Tomohon,5.26,5.6,5.38
Kota Kotamobagu,5.19,5.03,5.12
SULAWESI TENGAH,12.33,12.41,11.77
Banggai Kepulauan,13.44,12.9,12.32
Banggai,7.33,6.94,6.56
Morowali,12.58,12.31,11.55
Poso,15.18,15.16,14.23
Donggala,16.3,16.25,15.3
Toli-Toli,12.74,12.85,12.45
Buol,12.85,13.36,13.08
Parigi Moutong,14.63,14.91,14.2
Tojo Una-Una,16.12,16.74,16.36
Sigi,12.3,12.83,12.06
Banggai Laut,13.17,14.15,13.78
Morowali Utara,12.97,12.85,11.95
Kota Palu,6.63,6.56,5.94
SULAWESI SELATAN,8.63,8.7,8.06
Kepulauan Selayar,12.24,12.27,10.79
Bulukumba,7.39,7.22,6.71
Bantaeng,9.07,9.18,8.26
Jeneponto,13.73,13.06,11.82
Takalar,8.25,8.29,7.75
Gowa,7.36,7.42,6.85
Sinjai,8.8,8.55,7.82
Maros,9.43,9.65,9.32
Pangkajene Dan Kepulauan,13.92,13.4,12.41
Barru,8.4,8.46,8.31
Bone,10.58,10.53,9.58
Soppeng,7.49,7.48,6.9
Wajo,6.57,6.73,6.47
Sidenreng Rappang,5.11,5.14,5.02
Pinrang,8.79,8.9,8.55
Enrekang,12.39,12.69,11.25
Luwu,12.49,12.71,11.7
Tana Toraja,12.18,12.48,10.79
Luwu Utara,13.22,12.66,11.24
Luwu Timur,6.81,6.93,6.55
Toraja Utara,11.65,12.12,10.73
Kota Makassar,4.58,5.07,4.97
Kota Parepare,5.41,5.34,5.27
Kota Palopo,7.78,7.69,7.35
SULAWESI TENGGARA,11.17,11.43,11.21
Buton,13.27,13.77,13.99
Muna,13.41,14.07,13.78
Konawe,12.75,13.02,13.25
Kolaka,11.51,11.8,11.67
Konawe Selatan,11.08,11.26,11.2
Bombana,10.26,10.73,10.54
Wakatobi,14.55,14.81,14.36
Kolaka Utara,13.08,13.57,13.51
Buton Utara,14.26,14.06,14.09
Konawe Utara,13.72,13.48,13.17
Kolaka Timur,13.57,14.04,13.71
Konawe Kepulauan,16.15,15.9,15.54
Muna Barat,13.85,14.03,13.38
Buton Tengah,14.9,15.43,14.4
Buton Selatan,14.41,14.76,14.28
Kota Kendari,4.57,4.59,4.23
Kota Baubau,7.31,7.53,7.4
GORONTALO,15.42,15.15,14.57
Boalemo,18.74,18.38,17.83
Gorontalo,17.71,17.48,16.43
Pohuwato,17.87,17.64,17.11
Bone Bolango,16.05,15.51,14.8
Gorontalo Utara,17.24,17.03,16.86
Kota Gorontalo,5.73,5.64,5.74
SULAWESI BARAT,11.75,11.49,11.21
Majene,15.13,14.54,13.64
Polewali Mandar,16.39,16.08,15.66
Mamasa,14.51,14.31,14.2
Mamuju,7.63,7.57,7.15
Mamuju Utara,5.09,4.79,5.21
Mamuju Tengah,7.17,7.32,7.72
MALUKU,15.97,16.42,16.05
Maluku Tenggara Barat,23.88,24.47,23.66
Maluku Tenggara,21.19,21.79,21.22
Maluku Tengah,17.46,17.84,17.67
Buru,15.82,16.53,16.08
Kepulauan Aru,23.51,24.21,23.39
Seram Bagian Barat,22.25,22.39,22.31
Seram Bagian Timur,20.73,21.08,21.03
Maluku Barat Daya,27.64,28.78,27.95
Buru Selatan,14.75,15.28,14.91
Kota Ambon,4.68,5.25,5.13
Kota Tual,20.56,20.68,20.01
MALUKU UTARA,6.23,6.46,6.32
Halmahera Barat,8.43,8.74,8.75
Halmahera Tengah,12,11.44,10.71
Kepulauan Sula,7.64,8.17,7.96
Halmahera Selatan,4.99,5.68,5.63
Halmahera Utara,4.58,4.62,4.71
Halmahera Timur,13.14,12.47,11.91
Pulau Morotai,5.42,5.38,5.11
Pulau Taliabu,6.88,7.31,7.13
Kota Ternate,3.11,3.39,3.14
Kota Tidore Kepulauan,5.99,6.35,6.56
PAPUA BARAT,21.33,20.49,21.66
Fakfak,22.06,21.38,20.86
Kaimana,15.29,14.57,14.41
Teluk Wondama,30.06,28.9,28.47
Teluk Bintuni,29.73,28.24,26.99
Manokwari,19.9,18.73,18.45
Sorong Selatan,18.48,18.11,-
Sorong,27.58,26.88,-
Raja Ampat,17.32,16.76,-
Tambrauw,32.45,31.23,-
