Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
KALIMANTAN BARAT,1.38,1.47,1.24
Sambas,1.43,1.5,1.12
Bengkayang,1.36,0.84,0.89
Landak,2.05,1.73,1.5
Pontianak,0.83,0.71,0.9
Sanggau,0.67,0.61,0.43
Ketapang,2.48,1.63,2.13
Sintang,1.32,1.26,1.17
Kapuas Hulu,1.73,1.78,1.74
Sekadau,0.8,0.66,0.5
Melawi,1.88,1.77,2.43
Kayong Utara,1.38,1.47,1.18
Kubu Raya,1.06,0.55,0.58
Kota Pontianak,1.26,0.84,0.69
Kota Singkawang,0.71,0.82,0.74
KALIMANTAN TENGAH,1.14,1.09,1.08
Kotawaringin Barat,1.39,0.72,0.95
Kotawaringin Timur,1.19,0.74,0.55
Kapuas,1.48,1.03,0.42
Barito Selatan,1.35,0.77,0.76
Barito Utara,0.75,1,0.71
Sukamara,0.87,0.69,0.74
Lamandau,0.72,0.65,0.45
Seruyan,1.43,1.28,1.21
Katingan,1.43,1.13,1.21
Pulang Pisau,0.58,0.75,0.84
Gunung Mas,0.91,0.91,1.34
Barito Timur,1.58,1.44,1.64
Murung Raya,0.43,0.79,0.73
Kota Palangka Raya,0.71,0.66,0.46
KALIMANTAN SELATAN,0.77,0.83,0.76
Tanah Laut,0.65,0.68,0.49
Kota Baru,0.83,0.46,0.4
Banjar,0.48,0.44,0.34
Barito Kuala,0.61,0.75,0.89
Tapin,0.81,0.68,0.48
Hulu Sungai Selatan,0.87,1.02,0.72
Hulu Sungai Tengah,0.99,0.75,0.66
Hulu Sungai Utara,0.71,0.98,0.89
Tabalong,0.8,0.71,1.01
Tanah Bumbu,0.88,1.18,0.64
Balangan,1.03,1.1,1.13
Kota Banjarmasin,0.69,0.45,0.82
Kota Banjar Baru,1.35,0.79,0.48
KALIMANTAN TIMUR,1.39,1.07,0.99
Paser,2.4,1.1,1.34
Kutai Barat,1.84,1.05,0.88
Kutai Kartanegara,1.38,0.8,0.91
Kutai Timur,2.07,1.41,1.23
Berau,0.76,0.64,0.87
Penajam Paser Utara,1.98,1.17,1.16
Mahakam Hulu,-,-,-
Kota Balikpapan,0.75,0.26,0.71
Kota Samarinda,0.82,0.55,0.41
Kota Bontang,0.88,0.75,0.69
KALIMANTAN UTARA,1.39,1.07,0.99
Malinau,2.36,2.38,1.92
Bulungan,2.33,1.88,0.95
Tana Tidung,2.38,2.24,0.81
Nunukan,2.17,1.9,1.18
Kota Tarakan,1.9,1.3,1.39
SULAWESI UTARA,1.5,1.21,1.18
Bolaang Mongondow,1.28,1.15,1.41
Minahasa,1.53,0.99,0.81
Kepulauan Sangihe,2.27,1.38,1.62
Kepulauan Talaud,1.96,1.14,1.26
Minahasa Selatan,1.56,1.18,0.93
Minahasa Utara,1.05,0.83,0.9
Bolaang Mongondow Utara,1.75,1.19,0.92
Siau Tagulandang Biaro,1.76,1.41,1.2
Minahasa Tenggara,2.83,2.59,2.48
Bolaang Mongondow Selatan,4.2,2.57,2.47
Bolaang Mongondow Timur,1.03,1.02,0.53
Kota Manado,0.88,0.72,0.63
Kota Bitung,1.81,1.13,1.02
Kota Tomohon,1,1.13,1.01
Kota Kotamobagu,0.91,1.15,0.81
SULAWESI TENGAH,3.19,2.87,2.82
Banggai Kepulauan,3.02,3.56,3.26
Banggai,2.46,1.82,2.04
Morowali,3.82,4.23,3.05
Poso,4.15,3.45,3.66
Donggala,4.26,3.27,2.38
Toli-Toli,2.19,2.62,2.41
Buol,3.01,2.71,2.21
Parigi Moutong,3.58,3.28,2.62
Tojo Una-Una,4.51,4.46,3.83
Sigi,3.15,2.27,1.81
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,1.81,1.26,1.12
SULAWESI SELATAN,1.85,1.59,1.68
Kepulauan Selayar,2.47,2.3,2.34
Bulukumba,1.32,1.02,0.93
Bantaeng,1.73,1.39,1.64
Jeneponto,2.93,2.77,2.64
Takalar,1.65,1.44,1.57
Gowa,1.24,1.27,1.66
Sinjai,1.35,1.33,1.26
Maros,2.36,2.4,2.36
Pangkajene Dan Kepulauan,2.9,2.16,2.76
Barru,1.43,1.47,1.5
Bone,2.62,1.94,1.9
Soppeng,1.65,0.92,1.08
Wajo,1.52,1.05,0.87
Sidenreng Rappang,1.08,1.31,0.77
Pinrang,1.36,1.15,1.37
Enrekang,2.5,2.37,1.79
