Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
BALI,17088,17662,13430,13749
Jembrana,14048,14379,11396,11651
Tabanan,14946,15305,13723,14077
Badung,19752,20352,17127,17596
Gianyar,16841,17346,13746,14123
Klungkung,14518,14968,11112,11341
Bangli,15105,15353,10974,11179
Karangasem,14465,14941,9014,9420
Buleleng,18232,18835,12652,13066
Kota Denpasar,21484,22012,19381,19442
NUSA TENGGARA BARAT,14615,15170,9263,9581
Lombok Barat,17455,17749,10469,10601
Lombok Tengah,15073,15750,8199,8472
Lombok Timur,12458,13240,8417,8654
Sumbawa,11773,12323,9061,9413
Dompu,13738,14029,8136,8224
Bima,11272,11643,7754,7980
Sumbawa Barat,15643,15917,11445,11650
Lombok Utara,13488,13872,6684,6924
Kota Mataram,19275,19989,13564,13915
Kota Bima,12747,13145,10610,10899
NUSA TENGGARA TIMUR,10890,11335,7339,7666
Sumba Barat,9378,9876,7396,7600
Sumba Timur,11958,12363,9460,9810
Kupang,11055,11678,5723,6032
Timor Tengah Selatan,9332,9760,6233,6476
Timor Tengah Utara,7794,8233,6071,6320
Belu,8588,9011,7445,7695
Alor,9586,10067,6831,7172
Lembata,10391,10847,7072,7380
Flores Timur,10695,11098,7450,7729
Sikka,12631,13100,6464,6670
Ende,10159,10540,9037,9340
Ngada,11392,11830,8740,9074
Manggarai,10953,11412,5796,6031
Rote Ndao,10201,10713,4559,4820
Manggarai Barat,11577,11989,6147,6302
Sumba Tengah,8534,8794,5181,5369
Sumba Barat Daya,7078,7401,6561,6845
Nagekeo,8433,8735,8564,8692
Manggarai Timur,8394,8567,5381,5512
Sabu Raijua,7358,7804,4964,5263
Malaka,8896,9343,5196,5455
Kota Kupang,16192,16595,13038,13204
KALIMANTAN BARAT,13950,14499,6417,6689
Sambas,15518,16282,7483,7756
Bengkayang,13517,13893,4910,5114
Landak,10906,11519,6059,6250
Mempawah,12254,12971,5989,6290
Sanggau,13389,13860,4649,4848
Ketapang,13181,13921,7067,7335
Sintang,12823,13205,5938,6090
Kapuas Hulu,10950,11465,5287,5562
