Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
D I YOGYAKARTA,14082.92,14310.6,14538.13,11262.03,11414.33,11568.69
Kulon Progo,10760.94,10924.37,11090.28,7029.68,7332.91,7649.21
Bantul,16271.63,16290.72,16348.14,12442.6,12934.21,13034.84
Gunung Kidul,13046.29,13271.27,13500.13,4933.8,4988.22,5042.76
Sleman,14426.57,14627.7,14828.63,11821.12,12327.12,12854.77
Kota Yogyakarta,15680.72,15733.58,15786.63,16767.17,16963.11,16888.13
JAWA TIMUR,12492.92,12930.44,14164.77,7325.76,7741.1,8180
Pacitan,10763.37,10941.26,11122.08,2636.89,3110.91,3670.15
Ponorogo,10036.44,10154.41,10516.7,7514.95,7590.22,7666.25
Trenggalek,10501.45,10921.1,11534.05,6045.92,6554.96,7106.85
Tulungagung,11017.47,11091.17,11315.23,7879.26,8107.76,8342.88
Blitar,12668.12,12871.06,13077.26,6194.57,6402,6616.38
Kediri,13820.14,13852.69,13885.31,8397.66,8546.16,8695.13
Malang,12124.97,12136.34,12924.57,6218.7,6291.65,6365.45
Lumajang,11728.31,11791.38,11854.78,4121.46,4432.88,4767.84
Jember,11527.73,11798.43,12075.48,4696.39,4970.39,5260.38
Banyuwangi,15059.42,15427.1,15803.76,5465.48,5827.27,6213
Bondowoso,11699.62,12083.4,12479.76,7342.26,7685.51,8138.84
Situbondo,11290.82,11846.21,12161.08,4960.56,5537.61,5907.13
Probolinggo,14306.17,14740.1,15187.19,5619.47,5873.7,6087.63
Pasuruan,10289.68,10999.49,11180.99,6165.85,6977.72,7196.87
Sidoarjo,16012.01,16811.33,16993.46,9295.36,10175.69,11139.38
Mojokerto,15003.55,15189.96,15210.35,7646.41,8143.73,8673.4
Jombang,13664.41,13719.14,13884.67,6124.45,6476.72,6849.25
Nganjuk,14757.91,14803.86,14849.96,9076.27,9304.09,10274.03
Madiun,14062.54,14233.75,14407.04,7973.98,8399.39,8620.53
Magetan,13069.93,13120.86,13171.98,8896.1,9553.87,9641.65
Ngawi,13796.44,13968.11,14141.92,8862.39,8895.02,8927.77
Bojonegoro,11897.47,12162.23,12417.51,6057.52,6572.75,6839.26
Tuban,12958.53,13027.43,13096.7,6410.99,6492.53,6575.11
Lamongan,13613.42,13810.18,14009.79,5302.11,5603.33,6100.77
Gresik,16573,16769.44,16968.2,8443.3,8629.97,8820.78
Bangkalan,10671.2,10815.71,10962.17,4522.65,4800.93,5096.34
Sampang,11452.61,11491.27,11530.05,4239.65,4623.74,5042.63
Pamekasan,10674.96,10754.74,10835.11,4714.87,4944.33,5184.95
Sumenep,9651.3,10045.48,10455.77,2869.8,3306.81,3756.44
Kota Kediri,12512.62,12684.77,12859.29,8407.44,8985.12,9602.49
Kota Blitar,11632.83,11894.91,12162.89,9878.06,9910.65,9943.26
Kota Malang,17377.32,17565.65,17756.02,12515.92,13700.84,14997.94
Kota Probolinggo,9855.55,9873.77,9892.02,8657.19,9218.98,9817.22
Kota Pasuruan,11589.2,11641.33,11693.7,9222.37,9725.3,10789.12
Kota Mojokerto,15276.25,15313.39,15350.62,10153.99,10602.06,11053.58
Kota Madiun,18715.68,18979.83,19243.98,11519.62,12370.21,13283.6
Kota Surabaya,18046.75,18135.81,18225.3,14297.01,14380.15,14463.77
Kota Batu,14544.02,14901.36,15267.48,6548.25,6880.6,7229.8
BANTEN,15742.21,15774.18,15806.21,8761.32,9109.28,9131.24
Pandeglang,11188.83,11361.42,11536.67,3337.37,3578.72,4115.05
Lebak,11151.31,11350.14,11552.51,2689.19,3001.48,3350.03
Tangerang,15705.89,15780.23,16005.36,9308.79,9497.25,9689.53
Serang,13805.67,13806.6,13809.38,7510.23,7978.18,8222.98
Kota Tangerang,17072.46,17128.75,17298.74,13124.91,13129.83,13134.75
Kota Cilegon,18192.35,18342.32,18492.29,7151.94,7153.24,7154.55
Kota Serang,16397.3,16611.65,16825.99,10259.45,10587.16,10925.33
Kota Tangerang Selatan,0,19794.78,19942.1,0,12914.32,12921.63
BALI,14836.6,14884.87,15123.5,10547.53,11258.06,12158.06
Jembrana,11825.75,12048.26,12160.2,7751.31,9274.42,9826.96
Tabanan,13301.93,13368.47,13570.1,10886.58,11301.6,11718.48
Badung,17461.24,17749.57,17921.5,12122.46,14566.69,15106.79
Gianyar,13506.53,13787.53,14068.17,10644.42,11661.7,12206.23
Klungkung,12582.59,12734.34,13483.3,8120.11,8896.73,9685.09
Bangli,13389.03,13569.9,13750.71,7237.86,9050.12,9402.27
Karangasem,12599.39,12975.88,13054.07,6891.55,7530.63,7901.29
Buleleng,15933.91,16270.87,16946.17,8646.3,9745.52,10868.32
Kota Denpasar,18674.68,18745.02,18957.63,16498.08,16915.05,17342.56
NUSA TENGGARA BARAT,11958.99,12030.03,12486.94,6540.49,7009.71,7512.59
Lombok Barat,14238.47,14265.28,14580.07,7658.04,7700.56,8229.59
Lombok Tengah,11441.73,11531,12722.24,4996.21,5454.38,5954.56
Lombok Timur,9502.58,9508.75,9867.23,6431.51,6448.88,6534.36
Sumbawa,8769.9,8817.51,8963.74,4743.03,5587.13,6452.59
Dompu,10368.75,10569.96,10821.31,4946.49,5285.89,5629.37
Bima,9147.81,9165.02,9305.05,5459.84,5932.7,6446.52
Sumbawa Barat,12366.08,12452.55,12715.74,5338.41,6167.94,7126.37
Lombok Utara,10578.79,10706.79,11100.53,4896.75,4918.91,4963.54
Kota Mataram,15529.17,15853.89,16185.4,9721.97,9977.52,10309.76
Kota Bima,10078.72,10163.41,10274.14,7203.63,7519.22,8173.24
NUSA TENGGARA TIMUR,8641.27,8954.03,9266.78,5336.7,5672.7,6012.36
Sumba Barat,7744.49,7776.77,7809.04,5339.49,5554.84,6331.43
Sumba Timur,9186.12,10141.21,10444.83,5958.29,6933.43,7479.31
Kupang,8698.03,8960.17,9794.92,2607.02,2821.76,4545.14
Timor Tengah Selatan,7448.32,7558.85,7671.03,4605.14,5054.01,5289.66
Timor Tengah Utara,6175.83,6341.09,6434.62,3383.13,4043.32,4751.11
Belu,7455.72,7480.62,7555.83,3785.16,4146.22,4974.96
Alor,8039.32,8099.1,8159.33,4878.03,5175.85,5491.84
Lembata,7970.77,8611.52,9252.28,4740.94,4845.97,5885.15
Flores Timur,9324.32,9367.22,9665.64,5874.08,5965.52,6260.88
Sikka,9007.25,9925.64,10917.87,4551.88,4861.36,5191.88
Ende,8886.6,8902.18,8949.05,7123.12,7279.43,7449.74
Ngada,9852.5,9866.59,9880.71,6062,6807.02,7497.36
Manggarai,9659.47,9702.18,9745.07,4686.73,4770.55,5031.09
Rote Ndao,8273.08,8476.56,8685.05,3264.18,3420.32,3583.94
Manggarai Barat,9370.68,9600.9,9738.14,3749.08,4380.81,5030.55
Sumba Tengah,7046.18,7299.35,7621.15,4330.25,4391.11,4452.82
Sumba Barat Daya,5303.99,5655.46,5756.9,4567.08,5129.9,5178.36
Nagekeo,7660.09,7666.7,7673.31,7166.62,7355,7636.09
Manggarai Timur,6029.21,6279.41,6540,2714.05,2820.93,3191.68
Sabu Raijua,0,5158.86,5486.38,0,3139.67,3559.59
Malaka,0,0,0,0,0,0
Kota Kupang,14751.31,14763.64,14769.81,10238.36,10364.57,11045.5
KALIMANTAN BARAT,11477.56,11568.73,12035.53,5118.84,5197.31,5276.01
Sambas,11430.34,12650.7,13020.47,5189.1,5504.12,5662.22
Bengkayang,11825.14,11980.17,12137.24,4013.88,4097.71,4183.3
Landak,8365.36,8380.88,8745.84,4450.76,4734.81,4878.05
Mempawah,10102.38,10281.03,10462.84,3946.58,4332.89,4705.82
Sanggau,10520.84,10678.06,11265.17,2143.1,2164.79,2196.98
Ketapang,11630.74,11649.31,11667.92,3883.81,4382.74,4667.93
Sintang,11562.27,11670.95,11780.66,3287.24,3981.09,4821.39
Kapuas Hulu,8776.39,8907.85,9225.64,3647.44,3831.72,4025.31
Sekadau,9639.58,9728.08,10168.31,2823.24,3133.27,3449.65
Melawi,11194.31,11359.94,11708.06,2440.7,2815.38,3247.58
Kayong Utara,8581.51,9005.11,9604.85,2452.09,3350.41,4299.48
Kubu Raya,10978.16,11182.87,11882.75,4250.66,4430.49,4617.93
Kota Pontianak,17611.07,17815.86,18020.61,11459.47,12356.42,12590.9
Kota Singkawang,14632.3,14895.28,15162.99,7400.84,7406.82,7927.65
KALIMANTAN TENGAH,13624.7,13743.54,13984.35,6782.45,6942.41,7011.46
Kotawaringin Barat,16928.07,17000.32,17156.94,7274.69,7802.39,8336.85
Kotawaringin Timur,14827.35,15044.23,15264.29,5427.22,5528.51,5537.59
Kapuas,10744.45,10849.14,10954.85,7988.06,8332.51,8830.46
Barito Selatan,13559.34,13752.94,13949.31,8525.86,8678.46,8831.54
Barito Utara,10399.34,10660.66,10928.56,4209.81,4343.16,4990.66
Sukamara,9697.63,9779.93,9862.93,5004.48,5178.18,5862.21
Lamandau,12924.05,12981.68,13411.68,7466.1,7558.27,7650.64
Seruyan,11265.05,11505.28,11750.63,5505.01,5637.26,5772.68
Katingan,13504.13,13701.94,13902.65,4637.46,5159.24,5220.73
Pulang Pisau,11589.72,11802.52,11828.51,5244.36,5445.89,5655.17
Gunung Mas,11768.58,12292.92,12716.61,3941.65,4827.84,5913.26
Barito Timur,13816.72,14024.1,14043.36,6339.57,6487.4,6793.48
Murung Raya,14199.23,14347.74,14401.01,4813.35,4833.57,4853.88
Kota Palangka Raya,15973.71,16146.67,16321.5,10753.18,10990.81,11476.85
