Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Malaka,-,-,-
Kota Kupang,0.3,0.64,0.29
KALIMANTAN BARAT,0.6,0.64,0.64
Sambas,0.5,0.81,0.78
Bengkayang,0.81,0.6,0.55
Landak,1.58,1.18,0.74
Pontianak,0.35,0.31,0.41
Sanggau,0.33,0.39,0.47
Ketapang,0.86,1.03,0.98
Sintang,0.54,0.98,0.85
Kapuas Hulu,1.14,0.55,0.51
Sekadau,-,0.4,0.34
Melawi,-,0.62,0.82
Kayong Utara,-,-,-
Kubu Raya,-,-,-
Kota Pontianak,0.16,0.33,0.3
Kota Singkawang,0.53,0.54,0.25
KALIMANTAN TENGAH,0.68,0.47,0.46
Kotawaringin Barat,0.44,0.35,0.4
Kotawaringin Timur,1.32,0.29,0.25
Kapuas,0.43,0.42,0.41
Barito Selatan,0.3,0.34,0.31
Barito Utara,0.32,0.41,0.5
Sukamara,0.55,0.47,0.63
Lamandau,0.49,0.19,0.45
Seruyan,1.44,0.66,0.32
Katingan,1.29,0.34,0.18
Pulang Pisau,0.41,0.42,0.31
Gunung Mas,0.41,0.38,0.23
Barito Timur,0.32,0.45,0.6
Murung Raya,0.33,0.87,0.41
Kota Palangka Raya,0.2,0.39,0.36
KALIMANTAN SELATAN,0.24,0.25,0.32
Tanah Laut,0.41,0.37,0.24
Kota Baru,0.18,0.35,0.31
Banjar,0.27,0.19,0.14
Barito Kuala,0.22,0.32,0.27
Tapin,0.21,0.45,0.3
Hulu Sungai Selatan,0.39,0.4,0.38
Hulu Sungai Tengah,0.25,0.43,0.45
Hulu Sungai Utara,0.27,0.28,0.45
Tabalong,0.37,0.84,0.62
Tanah Bumbu,0.2,0.37,0.53
Balangan,0.29,0.49,0.74
Kota Banjarmasin,0.06,0.14,0.15
Kota Banjar Baru,0.34,0.45,0.11
KALIMANTAN TIMUR,0.6,0.73,0.82
Paser,0.75,1.21,0.69
Kutai Barat,0.46,0.59,0.77
Kutai Kartanegara,1.03,1.09,0.87
Kutai Timur,1.21,0.99,0.99
Berau,0.32,0.56,0.44
Penajam Paser Utara,1.14,1.31,0.77
Mahakam Hulu,-,-,-
Kota Balikpapan,0.2,0.19,0.12
Kota Samarinda,0.19,0.43,0.24
Kota Bontang,0.33,0.35,0.44
KALIMANTAN UTARA,0.6,0.73,0.82
Malinau,2.27,1.48,1.24
Bulungan,0.83,1.4,1.44
Tana Tidung,-,-,-
Nunukan,1.25,1.32,1.26
Kota Tarakan,0.36,0.23,0.49
SULAWESI UTARA,0.54,0.71,0.82
Bolaang Mongondow,0.58,0.42,0.57
Minahasa,0.42,0.53,0.45
Kepulauan Sangihe,1.69,0.66,0.96
Kepulauan Talaud,2.06,0.64,0.88
Minahasa Selatan,0.63,0.54,0.69
Minahasa Utara,-,0.63,0.2
Bolaang Mongondow Utara,-,-,-
Siau Tagulandang Biaro,-,-,-
Minahasa Tenggara,-,-,-
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,0.22,0.1,0.27
Kota Bitung,0.56,0.62,0.65
Kota Tomohon,0.53,0.12,0.22
Kota Kotamobagu,-,-,-
SULAWESI TENGAH,1.14,1.2,1.33
Banggai Kepulauan,0.87,1.75,1.31
Banggai,0.78,0.72,0.85
Morowali,1.01,1.7,1.63
Poso,2.09,2.58,2.2
Donggala,1.34,1.37,1.64
Toli-Toli,0.89,1.2,1.31
Buol,1.38,1.62,1.26
Parigi Moutong,1.43,1.14,1.17
Tojo Una-Una,-,1.96,2.28
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,0.34,0.62,0.44
SULAWESI SELATAN,0.63,0.61,0.61
Kepulauan Selayar,1.12,2.24,1.13
Bulukumba,0.61,0.69,0.49
Bantaeng,0.53,0.28,0.59
Jeneponto,0.95,0.92,0.87
Takalar,0.25,0.6,0.89
Gowa,0.61,0.86,0.58
Sinjai,0.22,0.65,0.47
Maros,0.52,0.89,1.47
Pangkajene Dan Kepulauan,1.17,1.41,0.85
Barru,0.65,0.45,0.61
Bone,0.62,1.02,0.72
Soppeng,0.12,0.11,0.19
Wajo,0.26,0.29,0.19
Sidenreng Rappang,0.23,0.43,0.14
Pinrang,0.15,0.45,0.31
Enrekang,0.92,0.84,0.85
Luwu,0.9,0.71,0.93
Tana Toraja,0.5,0.82,0.86
Luwu Utara,0.51,0.42,0.51
Luwu Timur,0.46,0.49,0.71
Toraja Utara,-,-,-
Kota Makassar,0.17,0.29,0.25
Kota Parepare,0.16,0.46,0.55
Kota Palopo,0.31,0.64,0.8
SULAWESI TENGGARA,0.98,1.21,1.07
Buton,1,1.45,1.28
Muna,0.79,1.62,1.31
Konawe,1.47,0.85,1.48
Kolaka,0.83,1.34,0.83
Konawe Selatan,1.23,1.25,0.93
Bombana,-,0.59,0.86
Wakatobi,-,0.86,0.87
Kolaka Utara,-,2.05,1.01
Buton Utara,-,-,-
Konawe Utara,-,-,-
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,0.39,0.74,0.93
Kota Baubau,0.85,0.71,0.66
GORONTALO,2.3,2.19,1.86
