Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,6.56,6.42,8.82
Merauke,2.44,1.78,1.95
Jayawijaya,8.51,14.8,10.36
Jayapura,3.78,2.77,3.98
Nabire,7.28,5.47,5.63
Kepulauan Yapen,6.04,5.96,8.81
Biak Numfor,4.37,5.96,5.78
Paniai,10.5,5.95,14.72
Puncak Jaya,3.67,5.91,6.59
Mimika,5.99,2.92,5.02
Boven Digoel,3.69,3.47,7.62
Mappi,6.08,4.25,4.95
Asmat,6.74,4.67,4.84
Yahukimo,10.77,7.09,8.55
Pegunungan Bintang,3.16,3.23,6.61
Tolikara,4.91,4.85,11.3
Sarmi,4,3.01,1.47
Keerom,2.99,3.44,3.95
Waropen,11.35,5.85,7.68
Supiori,7.55,6.22,11.44
Mamberamo Raya,5.91,6.54,8.34
Nduga *,6.11,5.1,5.1
Lanny Jaya,8.18,10.02,11.86
Mamberamo Tengah,4.46,3.04,2.85
Yalimo,7.46,6.32,4.75
Puncak,4.21,15.47,7.07
Dogiyai,4.61,4.72,7.72
Intan Jaya,15.91,10.06,15.92
Deiyai,16.82,13.02,14.53
Kota Jayapura,3.51,2.77,1.9
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
