Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
Tanah Bumbu,11006,11244,11710
Balangan,10953,11186,11442
Kota Banjarmasin,13417,13899,14256
Kota Banjar Baru,12879,13279,13590
KALIMANTAN TIMUR,11355,11612,11917
Paser,10171,10280,10605
Kutai Barat,9492,9532,9849
Kutai Kartanegara,10593,10692,10959
Kutai Timur,9960,10273,10614
Berau,11675,11843,12207
Penajam Paser Utara,11019,11126,11492
Mahakam Ulu,7281,7364,7653
Kota Balikpapan,13883,14254,14557
Kota Samarinda,14010,14175,14466
Kota Bontang,16157,16271,16698
KALIMANTAN UTARA,8434,8643,8943
Malinau,9529,9586,9853
Bulungan,8933,9094,9310
Tana Tidung,6919,7207,7511
Nunukan,6333,6680,6956
Kota Tarakan,10715,10841,11153
SULAWESI UTARA,10148,10422,10731
Bolaang Mongondow,9657,9761,10054
Minahasa,11827,12026,12319
Kepulauan Sangihe,10959,11111,11397
Kepulauan Talaud,8184,8268,8525
Minahasa Selatan,11133,11162,11410
Minahasa Utara,10789,11075,11318
Bolaang Mongondow Utara,8593,8739,8992
Siau Tagulandang Biaro,7742,7812,8097
Minahasa Tenggara,10002,10105,10354
Bolaang Mongondow Selatan,8371,8452,8743
Bolaang Mongondow Timur,8361,8568,8856
Kota Manado,13253,13477,13814
Kota Bitung,11718,11895,12168
Kota Tomohon,10936,11323,11647
Kota Kotamobagu,10084,10366,10663
SULAWESI TENGAH,9034,9311,9488
Banggai Kepulauan,7286,7440,7545
Banggai,9144,9516,9712
Morowali,10575,11012,11159
Poso,8345,8781,8936
Donggala,7802,7924,8106
Toli-Toli,7493,7916,8017
Buol,7740,7934,8079
Parigi Moutong,9351,9488,9808
Tojo Una-Una,7361,7465,7608
Sigi,7714,8113,8236
Banggai Laut,7529,7693,7810
Morowali Utara,8594,8842,8985
Kota Palu,14663,14871,15074
SULAWESI SELATAN,10281,10489,10814
Kepulauan Selayar,8123,8436,8666
Bulukumba,10040,10217,10331
Bantaeng,10596,10751,11153
Jeneponto,8559,8747,8957
Takalar,9759,9845,10134
Gowa,8717,9009,9179
Sinjai,8706,8816,9098
Maros,9758,10121,10558
Pangkajene dan Kepulauan,10670,10837,11197
Barru,10155,10285,10622
Bone,8275,8470,8686
Soppeng,8965,9035,9291
Wajo,11681,11770,12057
Sidenreng Rappang,11368,11523,11834
Pinrang,10899,11279,11508
Enrekang,10188,10359,10683
Luwu,9301,9381,9705
Tana Toraja,6509,6801,7087
Luwu Utara,10786,11101,11429
Luwu Timur,11960,12030,12346
Toraja Utara,7228,7457,7783
Kota Makasar,16013,16367,16597
Kota Parepare,12966,13078,13303
Kota Palopo,12156,12319,12662
SULAWESI TENGGARA,8871,9094,9262
Buton,6950,7117,7209
Muna,7928,8000,8098
Konawe,9696,9857,10004
Kolaka,12072,12243,12384
Konawe Selatan,8660,8798,8914
Bombana,7607,7908,8190
Wakatobi,8651,8800,9136
Kolaka Utara,9846,9941,10133
Buton Utara,7168,7249,7393
Konawe Utara,8822,8943,9050
Kolaka Timur,7283,7499,7606
Konawe Kepulauan,6227,6458,6601
Muna Barat,7221,7288,7405
Buton Tengah,6860,7012,7160
Buton Selatan,6859,7075,7192
Kota Kendari,13828,13995,14168
Kota Baubau,10110,10223,10374
GORONTALO,9175,9532,9839
Boalemo,7895,8325,8654
Gorontalo,8589,8828,9071
Pohuwato,9381,9715,10076
Bone Bolango,9115,9597,9827
Gorontalo Utara,8270,8480,8780
Kota Gorontalo,11360,11651,11908
SULAWESI BARAT,8450,8736,9051
Majene,9441,9559,9904
Polewali Mandar,7559,7947,8355
Mamasa,7231,7353,7597
Mamuju,8689,9019,9308
Mamuju Utara / Pasangkayu,10264,10577,10915
Mamuju Tengah,7521,7931,8243
MALUKU,8215,8433,8721
Maluku Tenggara Barat / Kepulauan Tanimbar,5901,6032,6275
Maluku Tenggara,7063,7302,7481
Maluku Tengah,9672,9875,10106
Buru,9806,10036,10203
Kepulauan Aru,7080,7334,7518
Seram Bagian Barat,8121,8333,8543
Seram Bagian Timur,8848,9058,9268
Maluku Barat Daya,6298,6508,6721
Buru Selatan,7175,7337,7506
Kota Ambon,13497,13699,13993
Kota Tual,6803,7012,7323
MALUKU UTARA,7545,7792,7980
Halmahera Barat,7076,7266,7418
Halmahera Tengah,7481,7688,7885
Kepulauan Sula,6741,6859,7044
Halmahera Selatan,6894,7026,7156
Halmahera Utara,7110,7302,7519
Halmahera Timur,7560,7841,7969
Pulau Morotai,5888,6167,6294
Pulau Taliabu,6208,6306,6455
